"script_name","run_time","red","green","blue","x_coordinate","y_coordinate","finished"
"xwd-convert.sh",208.0,45,42,46,803,610,1515976657.060864
"xwd-convert.sh",243.0,20,21,22,2777,1033,1515976657.412944
"xwd-convert.sh",241.0,45,42,46,1049,1265,1515976657.76637
"xwd-convert.sh",243.0,20,21,22,2231,760,1515976658.077583
"xwd-convert.sh",207.0,148,148,144,2799,1254,1515976658.427563
"xwd-convert.sh",239.0,45,42,46,1080,508,1515976658.756473
"xwd-convert.sh",218.0,20,21,22,2859,938,1515976659.072552
"xwd-convert.sh",211.0,45,42,46,1537,704,1515976659.429553
"xwd-convert.sh",246.0,45,42,46,274,1339,1515976659.787912
"xwd-convert.sh",247.0,20,21,22,2694,1132,1515976660.111184
"xwd-convert.sh",214.0,45,42,46,1236,1082,1515976660.484802
"xwd-convert.sh",264.0,20,21,22,2372,978,1515976660.841083
"xwd-convert.sh",245.0,62,60,63,1796,937,1515976661.153763
"xwd-convert.sh",209.0,20,21,22,2637,1109,1515976661.505832
"xwd-convert.sh",242.0,45,42,46,205,1185,1515976661.862038
"xwd-convert.sh",246.0,45,42,46,789,882,1515976662.215369
"xwd-convert.sh",242.0,20,21,22,2038,440,1515976662.566071
"xwd-convert.sh",240.0,20,21,22,2889,589,1515976662.87945
"xwd-convert.sh",209.0,20,21,22,2085,1318,1515976663.2198
"xwd-convert.sh",232.0,45,42,46,830,944,1515976663.57633
"xwd-convert.sh",246.0,45,42,46,1378,860,1515976663.928866
"xwd-convert.sh",245.0,34,31,34,67,498,1515976664.283381
"xwd-convert.sh",243.0,20,21,22,2388,566,1515976664.658534
"xwd-convert.sh",264.0,45,42,46,342,645,1515976665.019479
"xwd-convert.sh",250.0,20,21,22,2351,890,1515976665.379537
"xwd-convert.sh",249.0,45,42,46,198,1189,1515976665.73853
"xwd-convert.sh",246.0,45,42,46,1691,1163,1515976666.060412
"xwd-convert.sh",218.0,20,21,22,2470,834,1515976666.373408
"xwd-convert.sh",209.0,45,42,46,1383,1186,1515976666.722455
"xwd-convert.sh",238.0,20,21,22,2912,517,1515976667.064284
"xwd-convert.sh",229.0,45,42,46,1467,539,1515976667.417246
"xwd-convert.sh",242.0,45,42,46,908,1244,1515976667.762919
"xwd-convert.sh",237.0,45,42,46,1240,753,1515976668.082465
"xwd-convert.sh",214.0,45,42,46,1669,1353,1515976668.449157
"xwd-convert.sh",256.0,34,31,34,242,891,1515976668.800828
"xwd-convert.sh",246.0,45,42,46,1856,1389,1515976669.113778
"xwd-convert.sh",210.0,45,42,46,1649,1162,1515976669.469552
"xwd-convert.sh",244.0,20,21,22,2689,934,1515976669.823177
"xwd-convert.sh",243.0,45,42,46,1643,639,1515976670.186571
"xwd-convert.sh",253.0,47,52,63,265,453,1515976670.505807
"xwd-convert.sh",210.0,34,31,34,183,523,1515976670.82393
"xwd-convert.sh",209.0,20,21,22,2632,634,1515976671.181049
"xwd-convert.sh",246.0,45,42,46,1015,1267,1515976671.519466
"xwd-convert.sh",233.0,20,21,22,2507,1321,1515976671.852418
"xwd-convert.sh",222.0,34,31,34,29,473,1515976672.211277
"xwd-convert.sh",249.0,45,42,46,1584,963,1515976672.572945
"xwd-convert.sh",251.0,20,21,22,2349,1211,1515976672.925475
